Frame No.,FRP-inverse-1500,FRP-inverse-1500 Error,mono-frp-inverse-1500 ,Mono-frp-inverse-1500 Error,mono-incremental-frp-1500 ,mono-incremental-frp-1500 Error,Il2cpp-incremental-frp-1500,il2cpp-incremental-frp-1500 Error,il2cpp,il2cpp Error,Mono,Mono Error,Incremental il2cpp,Incremental il2cpp Error,Incremental Mono,Incremental Mono Error
0-49,604448.2,1424092.91821136,569854.1,1422437.9390165,580627.64,1462983.35494568,673776.56,1896741.06668808,26.807737186606,8.74365008594426,29.147503234188,9.08178094537842,28.83112726679,9.11541089559093,26.114035249306,7.774187065524
50-99,324615.58,65128.7856299833,302690.06,65653.4713506001,305538.68,69289.1954481699,347278.08,68233.6778484654,32.0817165638,6.61331608306656,34.5122756712,7.07441359973748,34.3396833904,7.38020717228301,30.0472127264,6.60524949744488
100-149,345819.58,57626.231259267,305340.3,71507.5693616431,305357.84,66810.633529603,376668.06,57681.6894504093,29.7728560654,5.34564280568624,34.4849813508,7.72961453736317,34.307803718,7.39283598291974,27.2533841584,4.85624217811793
150-199,428276.06,64111.1384666201,339157.94,67998.1590721426,340270.66,64269.1895255402,437246.08,52687.5122825521,23.8787375374,3.725739011942,30.7809363918,6.73560989821103,30.5706594012,6.50898689572419,23.1786862894,2.63309924890802
200-249,481312.02,77945.2978303165,409696.7,57541.0367903477,375407.72,66128.7304303369,572406,67540.4943924422,21.3238327602,3.50363034401449,24.9341812092,3.93534902483276,27.5401073546,5.41289867523757,17.7274677422,2.25336100143418
250-299,631360.5,74417.2731814685,456726.96,64426.2447843949,442222.54,42919.353906168,675381.88,58396.445866005,16.071469108,2.04188231698006,22.3129927396,3.05854521508252,22.8273865832,2.26782809651817,14.9144264144,1.28599201437077
300-349,631788.58,80677.8887443682,622009.38,108926.508876564,534715.38,69617.8372419049,670483.86,112514.54910475,16.0731928352,1.98357736878301,16.5670342076,2.89542985957363,19.0279447408,2.59035761750856,15.345688124,2.67540488268004
350-399,651908.76,64926.7452952566,559365,56732.2024031344,579643.52,61312.0924408811,565571.86,51352.0981738583,15.493088946,1.58715914009664,18.0512009112,1.75804296178754,17.4472526632,1.89411116014419,17.825568051,1.64264134999199
400-449,636230.4,59480.6825173913,535495.38,57117.7875578676,594660.82,62847.6585866501,586260.58,54321.4791494427,15.8570364368,1.52974467882952,18.8851576788,2.03820118655118,17.0094439094,1.88445214406769,17.2040758464,1.62925783619956
450-499,616538.84,95865.6756633056,553994.96,63847.0462193607,612930.42,56179.886643069,565295.76,63794.0487572247,16.6163372164,2.66229890994612,18.2788206016,2.03037338473683,16.4515039452,1.52261300550415,17.9176402306,2.08416414772257
500-549,549082.92,72115.8179073246,571416.18,66269.7402038149,609292.98,48936.8325582719,522893.3,59887.1382557155,18.5237732998,2.44418706486022,17.7308337794,2.0375707867186,16.5151373846,1.30760597616617,19.3749568458,2.26637193934479
550-599,569723.38,71907.9719573285,553781.42,68374.027100369,635718.16,53357.3025981007,468190.34,50264.1805007565,17.8302919774,2.29010217035703,18.3303697176,2.27724221805087,15.8423485612,1.3667181227684,21.6020972926,2.3247067289803
600-649,569575.48,108766.837994661,543061.54,67196.7163055861,657360.5,84287.3401400694,488221.6,112409.838238366,18.1957168516,3.47708495222039,18.6768472434,2.17610899449637,15.4532642346,1.94217754804388,21.3006657528,3.77593914500803
650-699,515565.18,79578.4297778342,587633.38,55519.6057214466,535228.48,61958.2013319912,963625.36,191801.882278836,19.8652414992,3.1397263431193,17.1653189788,1.60311657022569,18.9488289622,2.37032466400726,10.9143318184,2.85560838539966
700-749,477419.62,84871.2756607394,572563.84,58765.9351764065,528531.82,71914.8809049924,728501.18,101497.782059348,21.5762069946,3.67433877641655,17.6491924664,1.85358781948497,19.2697853698,2.64128655054194,14.002564255,2.03942412822453
750-799,471221.6,101829.591093179,522364.26,78123.5738941343,565524.26,58559.6357075103,374911.22,128266.108756293,22.0541750064,4.04753083383803,19.576223239,2.9800227806245,17.8694350082,1.85503508822319,29.6692751526,9.4668095968426
800-849,467703.06,70373.934633589,533005.4,67048.4208208619,532010.04,51008.3335632158,337606.68,65476.7944724337,21.8476649786,3.23439808627199,19.0588347052,2.4457268686801,18.9812415496,1.99030452107708,30.8347160012,6.51688511552574
850-899,427908.68,57210.0710523406,543483.3,72020.9509501591,533138.28,46290.6063014588,314113.8,74244.3573072001,23.7541851242,2.97886170385964,18.7293685324,2.57562867498699,18.8944373124,1.6287500945467,33.744431483,8.39487701329992
