Frame No.,csharp-1500,mono-csharp-1500,mono-incremental-csharp-1500,il2cpp-incremental-csharp-1500,il2cpp,Mono,Incremental il2cpp,Incremental Mono
0,708992,714334,718877,681056,14.1045315,13.99905366,13.91058554,14.68308039
1,440344,448047,459724,423633,22.70951801,22.31908706,21.75218174,23.60533764
2,10417083,10381202,10672057,13785203,0.9599616323,0.9632795894,0.9370264795,0.7254155053
3,1048099,993650,998609,974387,9.541083428,10.0639058,10.01392938,10.2628627
4,804672,667727,688632,687088,12.42742384,14.97618039,14.52154416,14.55417647
5,705968,561241,590950,674692,14.16494799,17.81765766,16.92190541,14.82157785
6,624284,459986,487838,633829,16.01835062,21.73979208,20.49860814,15.77712601
7,522384,352255,462411,394437,19.14300591,28.38852536,21.62578312,25.35259116
8,523392,397386,382803,585319,19.10613842,25.16444968,26.12309726,17.08470082
9,516758,361767,487581,481231,19.35141788,27.64210113,20.5094128,20.78004119
10,451910,340003,346362,355338,22.12829988,29.41150519,28.87152748,28.14221952
11,422719,430943,351974,368289,23.65637693,23.20492501,28.41118946,27.15258941
12,406484,319574,393473,391345,24.60121432,31.29165702,25.41470444,25.55290089
13,330323,391172,384006,411391,30.27339907,25.56420194,26.04125977,24.30777533
14,418082,271395,373780,362294,23.91875278,36.84666261,26.75370539,27.60189239
15,394238,336901,359938,351960,25.36538842,29.68231023,27.78256255,28.41231958
16,397872,219909,550964,417956,25.13371134,45.47335489,18.15000617,23.9259635
17,349287,256672,409931,422047,28.62975147,38.9602294,24.39434929,23.69404355
18,229734,387323,353934,330225,43.52860264,25.81824472,28.25385524,30.28238322
19,405532,397582,323408,342789,24.65896649,25.15204411,30.9206946,29.17246469
20,394013,450076,370808,468966,25.37987325,22.21846977,26.96813445,21.32350746
21,324011,336336,269496,395184,30.86314971,29.73217259,37.10630213,25.30466821
22,242340,337041,341267,400951,41.26433936,29.6699808,29.30256954,24.94070348
23,337801,285050,329096,349129,29.60322794,35.08156464,30.38627027,28.642708
24,367957,405284,312743,407752,27.17708863,24.67405572,31.97513613,24.5247111
25,399527,305219,403861,391872,25.0295975,32.76336008,24.7609945,25.51853667
26,338515,243893,364986,315785,29.54078844,41.00158676,27.39831117,31.66711528
27,323031,251185,237128,227350,30.95678124,39.81129446,42.17131676,43.98504508
28,224569,363660,320371,327411,44.52974364,27.49821262,31.21381149,30.54265129
29,369488,472074,230130,386199,27.06447841,21.1831196,43.45370008,25.89338657
30,278393,329944,373094,391666,35.9204434,30.30817351,26.80289686,25.53195835
31,332520,228833,260100,362966,30.07337904,43.69999082,38.44675125,27.55078988
32,223202,352875,237703,320362,44.80246593,28.33864683,42.06930497,31.21468838
33,347743,360940,377176,267318,28.7568693,27.70543581,26.5128216,37.40862942
