Frame No.,il2cpp-incremental-csharp-inverse-1500,il2cpp-incremental-frp-inverse-1500,Csharp,FRP
0,804948,3027183,12.42316274,3.303401215
1,461068,1051729,21.68877476,9.508152766
2,18029924,14350195,0.5546335082,0.696854642
3,1145758,1059217,8.727846544,9.440936088
4,824798,1008365,12.12418071,9.917043928
5,486811,2616777,20.541853,3.821494915
6,474779,1184219,21.06243115,8.44438402
7,368196,938977,27.15944769,10.64988812
8,480163,777688,20.82626108,12.85862711
9,461665,682800,21.66072802,14.64557704
10,353784,642408,28.26583452,15.5664313
11,238630,552797,41.90587939,18.08982321
12,393342,550731,25.42316864,18.15768497
13,357852,499864,27.94451337,20.00544148
14,228946,440162,43.67842199,22.71890804
15,442742,461674,22.58651766,21.66030576
16,311405,464422,32.11252228,21.53214103
17,398328,389003,25.10493864,25.70674262
18,362984,482804,27.54942367,20.71233875
19,236168,329809,42.34273907,30.32057949
20,243254,339728,41.10929317,29.43531296
21,379808,392446,26.32909259,25.4812127
22,467506,458292,21.39009981,21.8201496
23,414321,359299,24.13587532,27.83197281
24,368601,329790,27.12960627,30.32232633
25,368578,414998,27.13129921,24.09650167
26,408070,426615,24.50559953,23.44033848
27,398091,338547,25.11988465,29.5379962
28,418693,245153,23.88384807,40.79085306
29,336793,476617,29.69182851,20.98120713
30,408349,467613,24.48885635,21.38520529
31,383960,458884,26.04437962,21.79199972
32,295305,530030,33.86329388,18.86685659
33,369124,381300,27.0911672,26.22606871
34,439104,403787,22.77364816,24.76553232
35,395879,439211,25.26024366,22.76810007
36,399835,366334,25.01031676,27.29749354
37,325205,456010,30.74983472,21.92934365
38,349730,568893,28.5934864,17.57799797
39,292627,398086,34.17319659,25.12020016
40,502985,422551,19.88130859,23.66578236
41,317973,516202,31.4492111,19.37226125
42,337969,413365,29.58851256,24.19169499
43,244303,552447,40.9327761,18.10128392
44,393836,352651,25.39127962,28.35664722
45,376822,591454,26.53772869,16.90748562
46,332151,482136,30.10678878,20.74103572
47,224929,479146,44.45847356,20.87046537
48,427618,434975,23.38535796,22.989827
49,507423,539725,19.70742359,18.52795405
50,428168,639767,23.35531847,15.63069055
51,413309,420829,24.19497277,23.76262092
52,423246,657239,23.62692146,15.21516526
53,566336,504670,17.65736241,19.81492857
54,406647,371597,24.59135319,26.91087388
55,374797,576679,26.68111004,17.34066959
56,338944,415572,29.50339879,24.06321889
57,387295,479953,25.82011128,20.83537346
58,463568,446120,21.57180824,22.41549359
59,308577,463648,32.40682228,21.56808613
60,350150,602230,28.55918892,16.6049516
61,383675,422369,26.06372581,23.67598001
62,303683,568911,32.92907407,17.57744181
63,317941,427581,31.45237638,23.38738157
64,232117,509779,43.08172172,19.61634355
65,361720,439388,27.6456928,22.75892833
66,412232,514038,24.25818471,19.4538147
67,398674,509344,25.08315064,19.63309669
68,222348,440373,44.97454441,22.70802252
69,347206,589098,28.8013456,16.97510431
70,248330,456981,40.2689969,21.88274786
71,395884,708600,25.25992462,14.11233418
72,360208,621139,27.76173766,16.099456
73,303544,544880,32.94415307,18.35266481
74,316182,608021,31.62735387,16.44680036
75,239633,514420,41.73047952,19.43936861
76,408993,660141,24.45029622,15.14827893
77,397167,595186,25.17832549,16.80147046
