Problem Size,Sequential,Sequential Error,Fork Join,Fork Join Error,Lenient,Lenient Error
2,134.01,363.853940338702,7596.45,28027.0517947839,7986.12,8073.54479554056
4,120.91,265.636390391076,8005.52,20160.6869339713,11572.12,8131.50625195603
8,145.933333333333,228.544150852497,9424.56666666667,16589.6245042563,18965.7766666667,27632.4205944175
16,187.3875,223.270547416693,14278.85,16694.8523013083,26803.7975,27627.5381798034
32,258.538,260.608588799372,19436.126,23299.5563202848,42015.984,42675.988760048
64,378.1,383.802331936636,26684.025,31389.439859413,64933.2016666667,71780.865183982
128,593.702857142857,664.769549966953,39710.5842857143,55370.2121200564,106575.071428571,131270.563030964
256,990.0625,1259.83064480657,60598.425,86565.2947977963,190671.72,286301.394017138
512,1839.92666666667,2800.70710261216,97316.5833333333,145419.263588597,371427.141111111,1020518.80371174
1024,3551.225,6047.9556556224,172320.672,358353.780519093,823541.364,3025484.33396686
2048,12124.0981818182,176950.371886186,307778.141818182,614394.259634728,2213493.57090909,8364936.56404388
4096,18813.6608333333,170873.915301602,543244.4825,1011287.64125213,3914200.13583333,10505350.5377568
8192,42767.3430769231,442608.429766646,963261.247692308,1754392.9089317,7223395.18384615,16681280.3978133
16384,63716.0521428571,433183.133001053,1784617.83214286,3443110.76347665,16475042.4264286,39206476.1014292
32768,114914.189333333,538394.457938809,3357441.08666667,6783027.38981514,35749114.7466667,83676539.2877045
65536,228772.31,804504.718535413,6333943.17875,13284204.2128549,77248095.30625,183362196.086534
