Problem Size,Sequential,Sequential Error,Fork Join,Fork Join Error,Lenient,Lenient Error
1,9857.23,96515.2688581299,36629.28,363020.772706221,66965.76,474303.570451733
4,4994.4,68420.5400927237,43676.935,382684.584678284,67174.41,458825.216135635
8,3387.22333333333,55912.1440649536,47271.0833333333,361290.650437313,48758.94,375540.048728587
16,2596.8,48441.0129403276,38250.07,313278.119554024,43577.5325,325352.135347348
32,2158.446,43337.135720339,35319.984,280269.289046659,45700.712,291405.728566954
64,1901.25333333333,39566.0341145343,37010.5966666667,257865.173672368,55606.0583333333,267327.860914487
128,1790.22285714286,36633.3772976276,40612.4271428571,239737.959553811,73102.6871428571,254575.718951981
256,1832.4675,34269.8521539552,49199.525,227386.338611418,115121.84125,280575.511042065
512,2077.45555555556,32320.9824803438,65980.9544444444,222737.310403596,197065.246666667,427274.458800704
1024,2673.382,30719.47538976,96712.469,235605.22394176,372377.086,1180711.81343603
2048,3841.36545454545,29523.9640582648,154412.530909091,295793.826760161,829143.956363636,3146146.05877598
4096,6208.1925,29346.929506346,264385.888333333,466892.67796827,2227778.62833333,8421849.36147198
8192,14926.5415384615,169381.70166649,467222.640769231,836418.552957503,3921581.86538462,10789802.0559498
16384,23213.2985714286,169310.54598963,843049.997142857,1578642.92727958,6591468.735,14681222.1884941
32768,36584.3446666667,171165.156202195,1547022.41333333,3045186.42876833,14741916.0713333,35559526.2431742
65536,68863.8975,243628.226627231,2918545.611875,6081413.75173394,32985892.2675,82768701.8380744
