Problem Size,Sequential,Sequential Error,Map Reduce,Map Reduce Error,Parallel Foreach,Parallel Foreach Error, Tasks, Tasks Error
2,2375.75,22584.2073464512,38495.53,379592.674499007,152993.6,1447223.27479175,100623.61,867120.165458812
4,1283.865,16006.7378574391,19421.21,269089.469038155,80271.21,1025927.40585139,50935.72,615156.745072035
8,1015.15333333333,13074.9851004308,13175.2566666667,219888.124977523,57300.4633333333,838534.388362315,37758.7666666667,505335.132692056
16,1153.1675,11325.8046877228,10365.4875,190490.884351968,45439.37,726482.843733125,29268.5125,437881.957350402
32,2159.81,10328.2657306006,9721.16,170385.111084057,39312.176,649937.207002714,25016.48,391747.944235058
64,5948.13833333333,12745.2022521887,12457.93,155660.353186026,36897.165,593355.084536698,25221.6366666667,357628.297237669
128,18183.2528571429,32259.5341074817,24929.8757142857,147319.890023417,38587.1828571429,549378.856222228,31595.7057142857,331493.053687062
256,60654.88375,116384.112490098,70854.565,183758.744211101,51734.39,515113.324353395,40805.95375,313112.252142305
512,211422.663333333,440345.671929697,234788.35,495092.223668979,102058.494444444,506117.916632663,69383.8044444444,383196.358427909
1024,759204.399,1695705.60263275,830866.797,1849254.96006886,288592.333,742294.200738244,160483.132,919900.209929843
2048,2753730.97727273,6511246.36137157,3007795.66181818,7108220.58719685,912636.829090909,2098918.70180325,352882.080909091,1911254.40653034
4096,10094758.7983333,25134156.3835196,11015073.9666667,27425103.7962827,3105902.40833333,7549207.22699565,748452.826666667,3288959.63949449
