Problem Size,Sequential,Sequential Error,Fork Join,Fork Join Error,Lenient,Lenient Error
2,57.3,20.8194620487658,514.59,1248.61581036762,293.61,126.858574404728
4,64.97,19.3997190701309,766.645,1226.29049942295,521.265,269.172611487499
8,84.61,42.1186170238293,1240.76,1446.24530736202,896.303333333333,587.234233211549
16,117.065,73.1005182950163,2088.7675,2064.32198153383,1538.5025,1226.27772139665
32,171.844,130.253966020233,3583.51,3576.88219122464,2833.676,4500.35298160311
64,270.198333333333,254.002668615684,6246.52666666667,6819.03482656861,4973.14333333333,7245.80852029564
128,495.212857142857,1069.05585533904,34803.7514285714,659630.723620632,8730.32857142857,11943.0408512614
256,841.8525,1367.54947469689,39041.5875,618895.548673877,15565.8225,21945.2425390105
512,1525.76777777778,2347.40362539493,47227.2,584029.881166275,28046.9077777778,41591.9674089086
1024,3049.7,5102.94049955513,64766.693,556619.907947769,50915.928,79828.4210389058
2048,6153.55090909091,11006.9687939525,99459.0345454545,542055.218142253,93153.4818181818,154237.961475468
4096,12022.7933333333,22243.9442301485,167647.295833333,566476.671645037,174102.764166667,307331.436692696
8192,23036.0838461538,43956.768333582,294066.016923077,698659.348785187,321930.085384615,591290.308102096
16384,43041.6621428571,83813.855925025,535258.105,1099942.44371377,602004.53,1159766.31943665
32768,80064.7853333333,160680.313569524,1002039.98066667,2045198.66842723,1137708.60466667,2296501.00570358
65536,155699.195625,332099.3469181,1893964.806875,3982297.00684016,2185841.976875,4638174.29971678
