Problem Size,Sequential,Sequential Error,Fork Join,Fork Join Error,Lenient,Lenient Error
1,2257.68,21876.7207830058,19163.44,189437.441875323,23054.61,228200.106936079
4,1159.625,15508.111932288,19908.28,196099.008169117,12203.96,161894.032043521
8,798.076666666667,12672.6489731806,13487.85,160371.455486632,8374.54,132296.860287619
16,628.8225,10978.7698273073,10467.7,138984.276030888,6693.7375,114609.495865913
32,544.37,9821.17542359874,8973.08,124347.293119511,6038.028,102518.26114317
64,516.155,8965.68858766434,8581.235,113517.55703724,6234.295,93587.0148075467
128,546.744285714286,8301.05902359343,10140.0442857143,105167.798354885,7547.87714285714,86769.8510051687
256,655.91625,7770.58784901349,15984.02,141447.61747342,10434.785,81612.4948192602
512,896.262222222222,7358.82309175072,20904.2755555556,134774.735650458,16115.9511111111,78748.717633198
1024,1369.662,7128.54238984072,29559.093,130598.87589315,26874.435,81665.2649800377
2048,2291.90181818182,7413.05141535684,46303.5890909091,135529.711377725,47002.1936363636,100993.019962308
4096,4018.59166666667,9212.73091686702,77999.845,167319.39682176,84505.8416666667,157998.548901058
8192,7482.40230769231,15054.1645071949,139589.836923077,267447.34729973,156087.736923077,291116.557809094
16384,13593.5635714286,26519.4169056823,256724.4,494837.281263635,291697.917857143,564594.207008183
32768,25462.0226666667,51818.1318564665,475981.330666667,949883.282058321,548702.106666667,1105839.59355468
65536,47126.041875,98190.9749378735,895730.035,1868076.37383671,1036433.086875,2171581.47323267
