Frame No.,FRP-inverse-1500,FRP-inverse-1500 Error,mono-frp-inverse-1500 ,Mono-frp-inverse-1500 Error,mono-incremental-frp-1500 ,mono-incremental-frp-1500 Error,Il2cpp-incremental-frp-1500,il2cpp-incremental-frp-1500 Error,il2cpp,il2cpp Error,Mono,Mono Error,Incremental il2cpp,Incremental il2cpp Error,Incremental Mono,Incremental Mono Error
0-49,652041.66,1470060.41731428,692028.62,1517989.60396783,572555.6,1423686.01501496,608655.28,1405854.40042045,23.871703926386,6.93039816896653,21.894605002504,5.63385299204324,30.149025990512,10.5816727206647,26.12487707148,8.31091867175021
50-99,438419.74,78290.3260585851,486417.04,93357.1963973966,298928.2,70467.4144577999,354840.02,73089.8354762026,23.4857265174,3.92645768802681,21.2829056326,3.93485290134808,35.2351865484,7.81312536949782,29.484372835,6.67838701359235
100-149,869887.62,255478.838749217,1056926.66,147386.048838377,313764.68,72744.5509455028,467359.68,124527.825327325,12.6108229953,3.96160764237834,9.65006358858,1.42053846947791,33.611198006,7.81381544870639,22.9873244442,6.41839069338822
150-199,1224768.66,103792.838845151,1177217.46,106778.625050532,358352.66,61022.5878817018,663417.02,156833.057975344,8.22305315496,0.707125966388218,8.56004435872,0.746983405836267,28.842037908,5.72883180056712,15.8606561378,3.49389137748213
200-249,1137503.42,127601.43655069,1002031.84,116611.919453664,436458.44,60052.1500596111,619722.56,74248.3547367112,8.89254870642,0.930042653330594,10.11121757928,1.17313412156539,23.363783176,3.47526486088957,16.3811440886,2.12044486332021
250-299,1033195.4,94580.8105203898,952915.2,114620.489707272,573601.46,70396.032180396,868901.2,129418.043114678,9.75385417756,0.844172094571056,10.62962235746,1.16212804088922,17.707401221,2.3008032889344,11.76624300442,1.79650909874445
300-349,936808.78,82604.4992726996,1007109.52,65822.7965771298,663824.82,86060.2394801174,519118.98,129387.507721524,10.75727841132,0.962943174911304,9.97081749962,0.648850566207084,15.3016121602,1.88629508795328,20.5649308396,5.58840168080838
350-399,876142.78,85969.39976842,982064,78607.8494969212,626502.32,55279.7563539188,505978.2,115819.691534131,11.51592114492,1.072079013777,10.24964971464,0.864123915274702,16.0890800806,1.47952381965162,20.6225941048,4.00506529868822
400-449,855587.92,86598.439240504,909640.06,91180.934852119,637456.86,71244.1284784475,453268.94,108187.152964611,11.8102590197,1.24547451008433,11.10342813274,1.13230076270028,15.8822518974,1.80025592327667,22.990730638,4.14179479036532
450-499,891925.62,126302.127871921,867674.06,85599.8561627177,637771.68,60800.2884859689,416991.48,50966.6455976769,11.36905319186,1.19414630505365,11.63982832258,1.19719690060522,15.8274917406,1.59340649249661,24.3071513648,2.75227974319901
500-549,869947.74,107314.71715888,807552.98,76047.7387312894,649600.3,54220.3246620592,470659.44,85866.6198889263,11.67085841018,1.4733110707723,12.4927377746,1.19269624712003,15.4991707942,1.29400558856295,21.9475727678,4.08209818683921
550-599,826598.44,85755.5151941307,764306.1,110155.775999681,643314.12,53361.5836219128,553676.32,61802.5319762147,12.2308605956,1.31676222579719,13.34427203458,1.89426186660735,15.6506375218,1.3115409269195,18.2917921078,2.15074289080895
600-649,758824.72,114335.186076842,685486.24,91173.8459975341,648328.42,57711.5826421769,529844.94,68560.9039992946,13.4343192522,1.78561850002265,14.8349471928,1.91929551221777,15.5502090922,1.44867377194407,19.1601874354,2.30436247970105
650-699,660181.74,80532.976212894,676873.56,79354.757976549,621171.98,50899.658656684,509697.88,74964.0196455197,15.3774930448,1.9413462881315,14.9690070468,1.70827362731442,16.2044111006,1.32108281839258,20.0317500668,2.90661362558235
700-749,651609.36,72186.5448330161,662580.76,88871.6656644966,642445.9,63704.5351873687,467716.92,66647.2335469589,15.5366342188,1.75929005326096,15.345724826,1.94203580994765,15.7178000772,1.57979772325558,21.8221318054,3.20515670996597
750-799,642708.32,96629.5567353755,680371.38,95790.7018471146,639281.5,49227.8292263303,408057.72,47405.8826221526,15.85802707306,2.08021401533855,14.9589235504,1.92372586125048,15.738151267,1.27034364135939,24.8282711526,2.86893892301987
800-849,622188.32,76746.2070395456,644828.9,85734.6275838939,634096.14,90908.9089453451,409699.28,50376.2021071089,16.3227767546,2.09207528734213,15.7513513698,1.89142531343642,16.0785064128,2.21898625102903,24.7381994198,2.77918961130107
850-899,638686.14,82161.1187929334,661133.54,82362.6999213543,530964.06,61116.1685686076,372350.14,54265.3051161358,15.884251667,1.82973941423411,15.345244293,1.81717116451606,19.0876483442,2.28591167461619,27.384422916,3.78779980359441
