Problem Size,Sequential,Sequential Error,Async Workflow,Async Workflow Error,Task,Task Error,Lenient,Lenient Error
2,1307.740000,12025.782753,2428.690000,23386.879418,2323.470000,22127.472624,17950.770000,29036.852460
4,703.215000,8525.080619,1317.940000,16590.590898,1214.165000,15685.881111,29997.910000,56698.990182
8,527.883333,6965.335477,974.280000,13565.889075,868.343333,12816.962270,35141.603333,50002.071663
16,504.330000,6054.715154,932.032500,11809.764523,759.290000,11111.253213,75177.357500,90815.765952
32,588.962000,5470.838496,984.354000,10621.336907,774.812000,9957.580698,121190.454000,146173.468557
64,733.000000,5043.562993,1102.143333,9733.677497,891.406667,9112.929182,194096.760000,488332.782329
128,1035.604286,4765.068649,1390.001429,9075.482416,1174.011429,8484.855619,261326.258571,623158.190340
256,12046.698750,290172.809833,1972.348750,8671.869179,1745.105000,8098.919721,623182.966250,2288218.184097
512,12628.690000,273585.091926,3461.844444,15164.951490,3545.633333,16798.934558,1212348.626667,3692997.411646
1024,14724.686000,259623.094329,5634.576000,16269.571715,5667.647000,17513.957087,2243682.652000,5622041.757921
2048,18153.584545,247904.180187,9581.167273,20576.450196,9711.066364,22076.071027,4213424.564545,8847357.349620
4096,24875.438333,238613.658328,17001.791667,32936.952253,17102.185000,33374.663186,8950520.035833,18653278.620052
8192,38915.782308,234975.313691,31823.977692,62550.080330,31200.168462,59377.538087,19471431.895385,41710968.423096
16384,65332.173571,246375.379506,61641.230000,129552.892628,57584.899286,111829.829342,42728943.472143,93460170.571225
32768,115008.319333,302709.175019,125664.472000,303419.994467,116147.748667,261160.819769,93306034.793333,210038464.002021
65536,267533.708125,1066688.876778,240674.492500,552416.285860,263767.873750,696291.320578,200546092.700625,463372386.289748
