Problem Size,Sequential,Sequential Error,Async Workflow,Async Workflow Error,Task,Task Error,Lenient,Lenient Error
1,5726.390000,56300.317179,0.000000,0.000000,10060.090000,99197.688744,14600.280000,139744.704226
4,2934.115000,39910.441939,304391.320000,2906207.435703,7672.235000,71718.085435,88089.525000,923299.344976
8,2002.266667,32613.850005,174295.210000,2059900.206837,9167.746667,59356.922558,67819.846667,754441.884282
16,1667.485000,28302.277891,160006.820000,1707494.638877,11047.555000,51804.615022,92970.807500,692993.995123
32,1509.508000,25342.799042,15158107.000000,298307126.987846,12837.724000,46554.326813,108350.170000,624403.271359
64,1453.708333,23151.744155,39083439.310000,526048046.113903,15403.183333,43232.995342,165908.920000,837813.943854
128,1547.818571,21448.848723,76112965.721667,727016915.343614,21190.938571,54455.604719,207073.061429,790711.785591
256,1866.721250,20105.585672,113039254.442857,1089587622.735090,67846.717500,547743.808071,506570.582500,5531746.615543
512,2538.326667,19065.688815,0.000000,0.000000,137755.583333,808415.339885,1098484.323333,8100585.011984
1024,19424.024000,495179.784053,0.000000,0.000000,200246.978000,881519.761271,2227903.933000,10381466.924231
2048,19496.679091,472137.141273,0.000000,0.000000,344141.825455,1672067.556690,4597234.876364,15839082.897232
4096,21684.813333,452128.570460,0.000000,0.000000,574822.193333,2514808.178196,9994320.811667,26391412.066208
8192,26659.383846,434825.498202,0.000000,0.000000,1437555.040769,6864943.004671,21709915.265385,51462643.763487
16384,36769.066429,420743.995879,0.000000,0.000000,3359999.512857,12679012.389097,48248855.740000,112119837.469763
32768,56058.702000,412945.884760,0.000000,0.000000,7327466.756667,22108623.564233,113384624.986000,272937797.022849
65536,93581.380625,425591.506915,0.000000,0.000000,14832354.853125,38407647.761591,237814577.016875,562440193.919396
