Problem Size,Sequential,Sequential Error,Map Reduce,Map Reduce Error,Parallel Foreach,Parallel Foreach Error, Tasks, Tasks Error
2,909.470000,8185.927096,1628.750000,14564.370765,26695.570000,81478.796083,5563.400000,20893.233746
4,510.270000,5802.139892,941.310000,10321.757562,23104.125000,58538.904098,4972.475000,14817.348757
8,426.760000,4738.962792,2787.276667,35678.457942,21474.036667,47854.768538,5721.016667,12155.098275
16,504.292500,4107.547721,2357.752500,30907.596263,24837.600000,63359.949169,7618.380000,11039.682716
32,1071.996000,3867.898845,2496.644000,27647.801905,28824.678000,58943.300548,11225.236000,12248.656447
64,3094.833333,5907.540299,3873.598333,25450.544545,36577.513333,58984.122203,17684.943333,18280.928727
128,11302.880000,21266.901807,10004.355714,28118.229393,51015.552857,67588.874522,36045.735714,56894.359818
256,36799.662500,71852.892444,27357.218750,53310.205527,77518.080000,99694.293639,56833.052500,80523.459074
512,147572.581111,320771.048146,109223.444444,237318.441260,128085.203333,184843.952126,89196.598889,127628.742522
1024,552500.033000,1252326.114364,453041.496000,1055958.979564,314984.243000,604490.575962,247753.667000,496235.141180
2048,1874508.330909,4347745.724075,1535085.705455,3566814.333531,947291.788182,2098540.701296,813630.500909,1853207.388074
4096,6738866.725000,16661748.313193,5460817.931667,13462158.715512,3155442.980833,7614408.814413,2851612.485833,6991605.285077
