Problem Size,Sequential,Sequential Error,Map Reduce,Map Reduce Error,Parallel Foreach,Parallel Foreach Error, Tasks, Tasks Error
2,3955.040000,38616.389284,32209.490000,318613.987885,125351.430000,1004675.223257,29541.280000,254636.781174
4,2034.620000,27373.398709,16238.710000,225859.502906,72754.130000,712490.193061,17385.665000,180601.814879
8,1444.133333,22365.912488,10982.803333,184563.270243,55675.703333,582247.878882,13820.576667,147547.506399
16,1267.987500,19371.987381,8514.495000,159893.711991,50749.827500,504839.128638,15923.615000,137019.343226
32,1667.384000,17348.818918,7445.526000,143029.742460,49259.272000,451598.823885,17513.898000,122596.268671
64,3521.821667,16418.096822,8000.238333,130577.755266,52993.701667,412768.553544,22432.108333,112455.692740
128,11252.034286,24542.620566,14033.565714,121871.146498,65949.071429,384314.769712,34508.371429,113311.619798
256,34704.220000,66763.307314,31980.668750,125077.789880,90912.791250,366954.560594,54458.113750,122980.504582
512,152882.827778,340237.156949,123738.070000,285208.179873,134849.918889,373309.659259,83375.881111,152321.256027
1024,573881.578000,1303598.968710,489266.251000,1137909.502949,320851.798000,672628.312392,246700.561000,521539.514154
2048,1961429.678182,4560486.801859,1641967.619091,3805443.779462,948961.024545,2104149.463414,812464.185455,1858970.651970
4096,6783376.185000,16577959.276036,5521178.760000,13371903.676950,3161063.081667,7629007.474187,2862510.091667,7034614.686113
