Problem Size,Sequential,Sequential Error,Async Workflow,Async Workflow Error,Task,Task Error,Lenient,Lenient Error
1,3973.070000,38716.147304,0.000000,0.000000,10140.720000,100038.956408,10842.790000,103356.097153
4,2019.525000,27446.066689,150249.330000,1311019.014749,13163.965000,110433.799469,42652.020000,424249.828116
8,1375.653333,22428.117517,89144.235000,929049.435262,12650.413333,95040.968623,36940.270000,346618.591936
16,1066.522500,19430.706700,201812.510000,2396148.442732,11486.460000,82384.409087,34746.950000,300829.349107
32,903.280000,17382.434516,158448.380000,2076484.493762,11603.262000,73720.389934,37901.444000,274786.060201
64,831.545000,15868.787289,136880.416000,1858055.187573,12814.820000,67407.288720,42892.155000,254538.483918
128,867.022857,14699.338404,127539.913333,1696736.106774,16802.544286,66082.756233,56085.088571,247969.672363
256,984.215000,13753.951672,134530.195714,1573828.923096,22587.036250,66937.928457,87452.683750,282679.372141
512,1288.591111,13000.364894,0.000000,0.000000,32486.306667,77124.782833,221842.934444,2214873.345912
1024,1856.411000,12494.117865,0.000000,0.000000,48883.269000,102909.114706,365836.011000,2195228.281119
2048,2874.543636,12427.522006,0.000000,0.000000,78875.670909,156301.825879,766043.696364,2600639.608764
4096,4893.770000,13876.454703,0.000000,0.000000,133471.825833,257558.677422,1866614.665833,4592263.569806
8192,8954.681538,19799.974841,0.000000,0.000000,235329.219231,450663.638204,5433069.883846,13363128.836642
16384,15959.517143,32055.530206,0.000000,0.000000,430012.890000,828885.627877,14282768.457857,34697496.949310
32768,30024.270667,62103.724727,0.000000,0.000000,800875.092667,1606152.989119,36615770.526000,90673687.719392
65536,70139.410000,174373.380286,0.000000,0.000000,1504625.891250,3142814.456651,83325788.480000,202011071.362809
