Problem Size,Sequential,Sequential Error,Map Reduce,Map Reduce Error,Parallel Foreach,Parallel Foreach Error, Tasks, Tasks Error
2,297.21,119.304592954337,1406.55,2097.86362938586,40149.15,108336.989529281,26656.79,214157.62768355
4,397.676616915423,138.544117658631,4179.99502487562,39453.9166270461,33677.9154228856,87827.9856795667,17671.5074626866,151486.399929657
8,601.288079470199,311.722144153915,3410.1821192053,32205.7877882665,26701.6721854305,72880.4818692349,18044.5099337748,135806.123759355
16,1234.41935483871,1259.18465006148,3732.84863523573,27888.1014113447,35944.0297766749,126895.553451758,19918.7121588089,117859.391884519
32,2788.33333333333,3527.053369068,5411.86706349206,25235.7116315703,50911.7400793651,191798.41349699,24697.9563492063,107835.373157687
64,7310.54380165289,11023.2713844404,10589.3305785124,26108.8293529848,69222.3338842975,293798.789143451,34830.6214876033,116996.430598963
128,25201.6147308782,47082.6717038471,30477.2889518414,56479.021025448,89735.6898016997,293532.372584077,41513.3838526912,111044.759251392
256,85032.4820322181,169259.721528159,96263.2738537794,187968.328007045,118162.68401487,285845.569016928,59382.41511772,177820.371015961
512,250551.432819383,499463.435548597,273409.768722467,533906.163446958,178317.031938326,329810.035006567,84368.5748898678,193109.852368472
1024,809286.153617443,1741539.06227634,890026.470763132,1917381.70949014,364058.502477701,640605.582650395,130779.773042616,262988.950799983
2048,2846760.79279279,6662441.29984691,3134538.7,7329649.58577352,992685.025225225,2081279.81599557,243664.065765766,821568.960338355
4096,10371089.2246078,25752345.9056507,11354986.6531792,28148033.3940719,3249084.81090008,7745720.3550112,591160.554913295,2518416.47844824
