Work Bias (iterations),Sequential,Fork Join,Lenient
134217728,2870915520,864575267,811173289
67108864,1497278191,402978236,414772909
33554432,722349541,199316722,203883766
16777216,358069725,104469189,107606667
8388608,179141227,52218970,50508563
4194304,91548965,25242279,27336622
2097152,49167194,13474798,13399195
1048576,24519405,6972150,6668082
524288,12297772,3893671,3731184
262144,6100955,1878558,1901611
131072,3365364,966827,988469
65536,1617485,533506,475247
32768,980658,451460,283627
16384,405428,247273,168576
8192,227355,146839,145372
4096,141001,657983,135536
2048,68696,184811,589406
