Work Bias (iterations),Sequential,Fork Join,Lenient
16777216,662923924,189587662,184895505
8388608,330032131,89513135,90196290
4194304,162695008,44769190,45062797
2097152,81608808,22795847,22560273
1048576,42350887,11337276,11355387
524288,21133781,6319716,6158697
262144,10286965,3165200,3134721
131072,5363634,1725501,1876498
65536,2762979,1334927,877759
32768,1565743,666707,518750
16384,702927,278365,234715
8192,466160,201201,156440
4096,203296,146571,106618
2048,112218,99716,105708
1024,60694,94271,558531
