Frame No.,Sequential 500,Sequential 1000,Sequential 1500,Sequential 2000,Sequential 2500
0,18.46511,8.024098,5.868173,4.540242,3.445636
1,23.09618,15.16503,10.56674,12.13903,8.639533
2,0.9757906,1.014912,0.8922303,0.9328095,0.8838945
3,27.09638,17.21674,11.25982,7.531204,5.271053
4,61.55892,31.60137,11.75885,7.651888,6.319463
5,72.16153,62.52697,16.18312,9.00231,6.044798
6,50.37453,59.566,19.08506,9.15761,6.733132
7,57.07144,53.4228,29.82617,8.090517,5.997491
8,15.61509,51.86023,24.84022,9.376984,6.78853
9,16.75381,47.82629,26.57299,9.406488,6.117742
10,41.24239,87.20145,30.03048,8.222697,6.114458
11,64.67176,43.54737,41.19397,9.21002,6.723037
12,59.64096,62.17166,28.47243,9.503752,6.03224
13,58.62593,60.7408,28.45541,8.259773,6.638087
14,62.25293,56.332,32.98479,9.312088,6.127327
15,56.70445,61.86473,30.13646,8.964663,6.592257
16,73.89781,92.2969,43.65535,8.113235,6.180947
17,49.3447,41.31856,30.48399,9.252919,6.739839
18,61.79668,46.45804,33.87993,9.415575,5.967135
19,60.61525,55.44743,18.58408,8.036402,6.680268
20,60.02149,61.59608,33.36681,9.161326,6.177122
21,58.05751,65.34837,29.70541,9.214933,6.022243
22,60.52316,57.35228,41.46333,8.128621,6.497122
23,68.41022,53.28474,23.89989,9.047407,6.013797
24,49.61548,126.4159,26.72346,9.054789,6.432237
25,65.1101,42.65993,30.01867,8.100419,5.909851
26,59.27296,48.07415,44.54006,9.090959,6.462253
27,59.46682,51.78503,43.49774,7.898052,6.101337
28,58.52505,59.83903,26.92109,9.015401,6.575673
29,68.62476,56.8382,29.02766,8.85676,5.901568
30,50.48848,61.73068,44.22646,7.962399,5.884153
31,63.48441,57.83824,46.59224,9.030414,6.418407
32,58.9501,60.75297,41.73692,8.967508,6.005137
33,58.74509,83.10342,32.08234,7.872299,6.431079
34,58.68063,43.62983,36.39686,9.239079,5.795083
35,60.31727,49.70747,25.23405,9.009528,5.818378
36,66.82526,48.17582,44.4034,7.794973,6.261662
37,50.11878,61.75394,30.88994,8.850348,5.880035
38,61.98475,57.76974,44.4245,7.874667,6.218515
39,59.51814,61.58394,27.46121,8.611974,5.661578
40,59.36973,56.00672,34.64668,8.582623,5.785417
41,58.57819,60.92026,28.83747,7.836585,6.275262
42,68.48377,105.3153,42.0686,8.895934,5.937452
43,48.53568,39.92845,28.92464,7.858071,6.338558
44,63.91614,45.78545,44.89257,8.543832,5.889812
45,60.14784,50.01,27.01403,8.914952,5.692054
46,59.87379,60.30526,36.96051,7.598744,6.211037
47,59.7868,56.39426,20.63962,8.831862,5.713342
48,58.82699,60.91692,32.28139,7.615108,6.240604
49,67.45408,56.87441,29.94613,8.464111,5.726465
50,51.76627,62.65115,28.50383,8.843156,5.56557
51,60.68219,91.65651,32.15703,7.789084,6.101683
52,59.57949,40.02033,30.52056,8.761823,5.604395
53,59.96282,47.19163,45.85389,8.698852,5.596187
54,61.258,67.36048,39.62012,7.472049,6.104689
55,69.70001,54.27232,27.50767,7.559516,5.73216
56,50.7707,60.63436,27.37603,6.77679,6.218874
57,59.81684,57.2102,44.05927,8.181398,5.61041
58,60.09038,30.04095,40.67339,7.961568,5.600252
59,57.38288,66.7147,33.59323,7.458818,6.138731
60,59.66373,50.40653,42.9203,7.738321,5.509976
61,67.9671,49.6236,25.50799,7.014827,5.713675
62,49.98351,61.67776,35.40788,8.055733,5.980321
63,60.33219,55.28864,30.46626,7.811078,5.614892
64,59.50681,61.93791,45.33215,7.278709,5.611143
65,58.14258,57.30626,42.42591,8.72541,5.959653
66,59.27472,93.32537,33.22259,7.820883,5.689848
67,59.05733,41.65105,34.44285,8.629758,5.639579
68,69.7496,60.84946,27.11563,8.333341,6.206774
69,50.87531,15.70352,41.76377,7.344301,5.60623
70,62.77937,38.81716,31.55052,8.625174,6.219362
71,58.1869,59.62567,44.91879,7.668535,5.680785
72,57.67611,58.04639,25.98071,8.627606,5.746935
73,59.0507,62.79987,36.80191,8.685072,6.086868
74,71.11516,61.90034,32.42647,7.815119,5.697048
75,48.17675,50.35551,45.16773,8.802778,5.684538
76,61.46735,53.57392,25.33756,7.744446,6.14988
77,59.63065,57.56622,31.73555,8.719202,5.884977
78,61.29479,58.66444,26.72746,8.856133,6.166011
79,56.52336,60.83909,26.24314,7.817887,5.456811
80,62.55082,87.38891,32.73997,8.464204,4.25206
81,72.04507,43.44501,39.48293,8.514305,6.028832
82,51.39142,62.37758,42.25525,7.789672,5.899228
83,60.72198,56.32597,27.90926,8.416446,6.285845
84,58.62902,51.03291,28.45533,7.742689,5.867594
85,60.5162,49.1444,40.30698,8.478536,5.842118
86,60.17137,61.47453,43.67861,8.505925,6.307222
87,70.71886,55.94218,47.11559,7.900155,5.926467
88,47.24446,102.3196,31.4327,8.766924,6.557106
89,61.62986,41.21298,33.89233,7.831773,6.064414
90,58.89177,57.83824,27.02798,8.807119,6.080565
91,58.59741,62.27426,45.18508,9.059645,6.616737
92,60.7135,61.87162,31.52039,7.69772,6.046841
93,57.79445,47.07322,46.10334,8.550173,6.568416
94,72.02328,51.20485,36.97199,8.721826,5.969198
95,49.24726,57.60037,26.64499,7.797411,6.71722
96,63.06602,59.67371,44.15928,9.05693,6.309506
97,60.2018,94.70235,31.94317,8.924157,6.705473
98,59.1471,42.7877,43.94638,7.886317,6.268233
99,59.05244,59.84691,40.63554,8.890849,6.790614
